id,category,age_group,question_en,question_bn,question_hi,question_jp,question_cn,options
1,Category1,AgeGroup1,QuestionEN1,QuestionBN1,QuestionHI1,QuestionJP1,QuestionCN1,"Always,Sometimes,Rarely,Never"
2,Category2,AgeGroup2,QuestionEN2,QuestionBN2,QuestionHI2,QuestionJP2,QuestionCN2,"Always,Sometimes,Rarely,Never"
3,Category3,AgeGroup3,QuestionEN3,QuestionBN3,QuestionHI3,QuestionJP3,QuestionCN3,"Always,Sometimes,Rarely,Never"
4,Category4,AgeGroup4,QuestionEN4,QuestionBN4,QuestionHI4,QuestionJP4,QuestionCN4,"Always,Sometimes,Rarely,Never"
5,Category5,AgeGroup5,QuestionEN5,QuestionBN5,QuestionHI5,QuestionJP5,QuestionCN5,"Always,Sometimes,Rarely,Never"
6,Category6,AgeGroup6,QuestionEN6,QuestionBN6,QuestionHI6,QuestionJP6,QuestionCN6,"Always,Sometimes,Rarely,Never"
7,Category7,AgeGroup7,QuestionEN7,QuestionBN7,QuestionHI7,QuestionJP7,QuestionCN7,"Always,Sometimes,Rarely,Never"
8,Category8,AgeGroup8,QuestionEN8,QuestionBN8,QuestionHI8,QuestionJP8,QuestionCN8,"Always,Sometimes,Rarely,Never"
9,Category9,AgeGroup9,QuestionEN9,QuestionBN9,QuestionHI9,QuestionJP9,QuestionCN9,"Always,Sometimes,Rarely,Never"
10,Category10,AgeGroup10,QuestionEN10,QuestionBN10,QuestionHI10,QuestionJP10,QuestionCN10,"Always,Sometimes,Rarely,Never"
11,Category11,AgeGroup11,QuestionEN11,QuestionBN11,QuestionHI11,QuestionJP11,QuestionCN11,"Always,Sometimes,Rarely,Never"
12,Category12,AgeGroup12,QuestionEN12,QuestionBN12,QuestionHI12,QuestionJP12,QuestionCN12,"Always,Sometimes,Rarely,Never"
13,Category13,AgeGroup13,QuestionEN13,QuestionBN13,QuestionHI13,QuestionJP13,QuestionCN13,"Always,Sometimes,Rarely,Never"
14,Category14,AgeGroup14,QuestionEN14,QuestionBN14,QuestionHI14,QuestionJP14,QuestionCN14,"Always,Sometimes,Rarely,Never"
15,Category15,AgeGroup15,QuestionEN15,QuestionBN15,QuestionHI15,QuestionJP15,QuestionCN15,"Always,Sometimes,Rarely,Never"
16,Category16,AgeGroup16,QuestionEN16,QuestionBN16,QuestionHI16,QuestionJP16,QuestionCN16,"Always,Sometimes,Rarely,Never"
17,Category17,AgeGroup17,QuestionEN17,QuestionBN17,QuestionHI17,QuestionJP17,QuestionCN17,"Always,Sometimes,Rarely,Never"
18,Category18,AgeGroup18,QuestionEN18,QuestionBN18,QuestionHI18,QuestionJP18,QuestionCN18,"Always,Sometimes,Rarely,Never"
19,Category19,AgeGroup19,QuestionEN19,QuestionBN19,QuestionHI19,QuestionJP19,QuestionCN19,"Always,Sometimes,Rarely,Never"
20,Category20,AgeGroup20,QuestionEN20,QuestionBN20,QuestionHI20,QuestionJP20,QuestionCN20,"Always,Sometimes,Rarely,Never"
21,Category21,AgeGroup21,QuestionEN21,QuestionBN21,QuestionHI21,QuestionJP21,QuestionCN21,"Always,Sometimes,Rarely,Never"
22,Category22,AgeGroup22,QuestionEN22,QuestionBN22,QuestionHI22,QuestionJP22,QuestionCN22,"Always,Sometimes,Rarely,Never"
23,Category23,AgeGroup23,QuestionEN23,QuestionBN23,QuestionHI23,QuestionJP23,QuestionCN23,"Always,Sometimes,Rarely,Never"
24,Category24,AgeGroup24,QuestionEN24,QuestionBN24,QuestionHI24,QuestionJP24,QuestionCN24,"Always,Sometimes,Rarely,Never"
25,Category25,AgeGroup25,QuestionEN25,QuestionBN25,QuestionHI25,QuestionJP25,QuestionCN25,"Always,Sometimes,Rarely,Never"
26,Category26,AgeGroup26,QuestionEN26,QuestionBN26,QuestionHI26,QuestionJP26,QuestionCN26,"Always,Sometimes,Rarely,Never"
27,Category27,AgeGroup27,QuestionEN27,QuestionBN27,QuestionHI27,QuestionJP27,QuestionCN27,"Always,Sometimes,Rarely,Never"
28,Category28,AgeGroup28,QuestionEN28,QuestionBN28,QuestionHI28,QuestionJP28,QuestionCN28,"Always,Sometimes,Rarely,Never"
29,Category29,AgeGroup29,QuestionEN29,QuestionBN29,QuestionHI29,QuestionJP29,QuestionCN29,"Always,Sometimes,Rarely,Never"
30,Category30,AgeGroup30,QuestionEN30,QuestionBN30,QuestionHI30,QuestionJP30,QuestionCN30,"Always,Sometimes,Rarely,Never"
31,Category31,AgeGroup31,QuestionEN31,QuestionBN31,QuestionHI31,QuestionJP31,QuestionCN31,"Always,Sometimes,Rarely,Never"
32,Category32,AgeGroup32,QuestionEN32,QuestionBN32,QuestionHI32,QuestionJP32,QuestionCN32,"Always,Sometimes,Rarely,Never"
33,Category33,AgeGroup33,QuestionEN33,QuestionBN33,QuestionHI33,QuestionJP33,QuestionCN33,"Always,Sometimes,Rarely,Never"
34,Category34,AgeGroup34,QuestionEN34,QuestionBN34,QuestionHI34,QuestionJP34,QuestionCN34,"Always,Sometimes,Rarely,Never"
35,Category35,AgeGroup35,QuestionEN35,QuestionBN35,QuestionHI35,QuestionJP35,QuestionCN35,"Always,Sometimes,Rarely,Never"
36,Category36,AgeGroup36,QuestionEN36,QuestionBN36,QuestionHI36,QuestionJP36,QuestionCN36,"Always,Sometimes,Rarely,Never"
37,Category37,AgeGroup37,QuestionEN37,QuestionBN37,QuestionHI37,QuestionJP37,QuestionCN37,"Always,Sometimes,Rarely,Never"
38,Category38,AgeGroup38,QuestionEN38,QuestionBN38,QuestionHI38,QuestionJP38,QuestionCN38,"Always,Sometimes,Rarely,Never"
39,Category39,AgeGroup39,QuestionEN39,QuestionBN39,QuestionHI39,QuestionJP39,QuestionCN39,"Always,Sometimes,Rarely,Never"
40,Category40,AgeGroup40,QuestionEN40,QuestionBN40,QuestionHI40,QuestionJP40,QuestionCN40,"Always,Sometimes,Rarely,Never"
41,Category41,AgeGroup41,QuestionEN41,QuestionBN41,QuestionHI41,QuestionJP41,QuestionCN41,"Always,Sometimes,Rarely,Never"
42,Category42,AgeGroup42,QuestionEN42,QuestionBN42,QuestionHI42,QuestionJP42,QuestionCN42,"Always,Sometimes,Rarely,Never"
43,Category43,AgeGroup43,QuestionEN43,QuestionBN43,QuestionHI43,QuestionJP43,QuestionCN43,"Always,Sometimes,Rarely,Never"
44,Category44,AgeGroup44,QuestionEN44,QuestionBN44,QuestionHI44,QuestionJP44,QuestionCN44,"Always,Sometimes,Rarely,Never"
45,Category45,AgeGroup45,QuestionEN45,QuestionBN45,QuestionHI45,QuestionJP45,QuestionCN45,"Always,Sometimes,Rarely,Never"
46,Category46,AgeGroup46,QuestionEN46,QuestionBN46,QuestionHI46,QuestionJP46,QuestionCN46,"Always,Sometimes,Rarely,Never"
47,Category47,AgeGroup47,QuestionEN47,QuestionBN47,QuestionHI47,QuestionJP47,QuestionCN47,"Always,Sometimes,Rarely,Never"
48,Category48,AgeGroup48,QuestionEN48,QuestionBN48,QuestionHI48,QuestionJP48,QuestionCN48,"Always,Sometimes,Rarely,Never"
49,Category49,AgeGroup49,QuestionEN49,QuestionBN49,QuestionHI49,QuestionJP49,QuestionCN49,"Always,Sometimes,Rarely,Never"
50,Category50,AgeGroup50,QuestionEN50,QuestionBN50,QuestionHI50,QuestionJP50,QuestionCN50,"Always,Sometimes,Rarely,Never"
51,Category51,AgeGroup51,QuestionEN51,QuestionBN51,QuestionHI51,QuestionJP51,QuestionCN51,"Always,Sometimes,Rarely,Never"
52,Category52,AgeGroup52,QuestionEN52,QuestionBN52,QuestionHI52,QuestionJP52,QuestionCN52,"Always,Sometimes,Rarely,Never"
53,Category53,AgeGroup53,QuestionEN53,QuestionBN53,QuestionHI53,QuestionJP53,QuestionCN53,"Always,Sometimes,Rarely,Never"
54,Category54,AgeGroup54,QuestionEN54,QuestionBN54,QuestionHI54,QuestionJP54,QuestionCN54,"Always,Sometimes,Rarely,Never"
55,Category55,AgeGroup55,QuestionEN55,QuestionBN55,QuestionHI55,QuestionJP55,QuestionCN55,"Always,Sometimes,Rarely,Never"
56,Category56,AgeGroup56,QuestionEN56,QuestionBN56,QuestionHI56,QuestionJP56,QuestionCN56,"Always,Sometimes,Rarely,Never"
57,Category57,AgeGroup57,QuestionEN57,QuestionBN57,QuestionHI57,QuestionJP57,QuestionCN57,"Always,Sometimes,Rarely,Never"
58,Category58,AgeGroup58,QuestionEN58,QuestionBN58,QuestionHI58,QuestionJP58,QuestionCN58,"Always,Sometimes,Rarely,Never"
59,Category59,AgeGroup59,QuestionEN59,QuestionBN59,QuestionHI59,QuestionJP59,QuestionCN59,"Always,Sometimes,Rarely,Never"
60,Category60,AgeGroup60,QuestionEN60,QuestionBN60,QuestionHI60,QuestionJP60,QuestionCN60,"Always,Sometimes,Rarely,Never"
61,Category61,AgeGroup61,QuestionEN61,QuestionBN61,QuestionHI61,QuestionJP61,QuestionCN61,"Always,Sometimes,Rarely,Never"
62,Category62,AgeGroup62,QuestionEN62,QuestionBN62,QuestionHI62,QuestionJP62,QuestionCN62,"Always,Sometimes,Rarely,Never"
63,Category63,AgeGroup63,QuestionEN63,QuestionBN63,QuestionHI63,QuestionJP63,QuestionCN63,"Always,Sometimes,Rarely,Never"
64,Category64,AgeGroup64,QuestionEN64,QuestionBN64,QuestionHI64,QuestionJP64,QuestionCN64,"Always,Sometimes,Rarely,Never"
65,Category65,AgeGroup65,QuestionEN65,QuestionBN65,QuestionHI65,QuestionJP65,QuestionCN65,"Always,Sometimes,Rarely,Never"
66,Category66,AgeGroup66,QuestionEN66,QuestionBN66,QuestionHI66,QuestionJP66,QuestionCN66,"Always,Sometimes,Rarely,Never"
67,Category67,AgeGroup67,QuestionEN67,QuestionBN67,QuestionHI67,QuestionJP67,QuestionCN67,"Always,Sometimes,Rarely,Never"
68,Category68,AgeGroup68,QuestionEN68,QuestionBN68,QuestionHI68,QuestionJP68,QuestionCN68,"Always,Sometimes,Rarely,Never"
69,Category69,AgeGroup69,QuestionEN69,QuestionBN69,QuestionHI69,QuestionJP69,QuestionCN69,"Always,Sometimes,Rarely,Never"
70,Category70,AgeGroup70,QuestionEN70,QuestionBN70,QuestionHI70,QuestionJP70,QuestionCN70,"Always,Sometimes,Rarely,Never"
71,Category71,AgeGroup71,QuestionEN71,QuestionBN71,QuestionHI71,QuestionJP71,QuestionCN71,"Always,Sometimes,Rarely,Never"
72,Category72,AgeGroup72,QuestionEN72,QuestionBN72,QuestionHI72,QuestionJP72,QuestionCN72,"Always,Sometimes,Rarely,Never"
73,Category73,AgeGroup73,QuestionEN73,QuestionBN73,QuestionHI73,QuestionJP73,QuestionCN73,"Always,Sometimes,Rarely,Never"
74,Category74,AgeGroup74,QuestionEN74,QuestionBN74,QuestionHI74,QuestionJP74,QuestionCN74,"Always,Sometimes,Rarely,Never"
75,Category75,AgeGroup75,QuestionEN75,QuestionBN75,QuestionHI75,QuestionJP75,QuestionCN75,"Always,Sometimes,Rarely,Never"
76,Category76,AgeGroup76,QuestionEN76,QuestionBN76,QuestionHI76,QuestionJP76,QuestionCN76,"Always,Sometimes,Rarely,Never"
77,Category77,AgeGroup77,QuestionEN77,QuestionBN77,QuestionHI77,QuestionJP77,QuestionCN77,"Always,Sometimes,Rarely,Never"
78,Category78,AgeGroup78,QuestionEN78,QuestionBN78,QuestionHI78,QuestionJP78,QuestionCN78,"Always,Sometimes,Rarely,Never"
79,Category79,AgeGroup79,QuestionEN79,QuestionBN79,QuestionHI79,QuestionJP79,QuestionCN79,"Always,Sometimes,Rarely,Never"
80,Category80,AgeGroup80,QuestionEN80,QuestionBN80,QuestionHI80,QuestionJP80,QuestionCN80,"Always,Sometimes,Rarely,Never"
81,Category81,AgeGroup81,QuestionEN81,QuestionBN81,QuestionHI81,QuestionJP81,QuestionCN81,"Always,Sometimes,Rarely,Never"
82,Category82,AgeGroup82,QuestionEN82,QuestionBN82,QuestionHI82,QuestionJP82,QuestionCN82,"Always,Sometimes,Rarely,Never"
83,Category83,AgeGroup83,QuestionEN83,QuestionBN83,QuestionHI83,QuestionJP83,QuestionCN83,"Always,Sometimes,Rarely,Never"
84,Category84,AgeGroup84,QuestionEN84,QuestionBN84,QuestionHI84,QuestionJP84,QuestionCN84,"Always,Sometimes,Rarely,Never"
85,Category85,AgeGroup85,QuestionEN85,QuestionBN85,QuestionHI85,QuestionJP85,QuestionCN85,"Always,Sometimes,Rarely,Never"
86,Category86,AgeGroup86,QuestionEN86,QuestionBN86,QuestionHI86,QuestionJP86,QuestionCN86,"Always,Sometimes,Rarely,Never"
87,Category87,AgeGroup87,QuestionEN87,QuestionBN87,QuestionHI87,QuestionJP87,QuestionCN87,"Always,Sometimes,Rarely,Never"
88,Category88,AgeGroup88,QuestionEN88,QuestionBN88,QuestionHI88,QuestionJP88,QuestionCN88,"Always,Sometimes,Rarely,Never"
89,Category89,AgeGroup89,QuestionEN89,QuestionBN89,QuestionHI89,QuestionJP89,QuestionCN89,"Always,Sometimes,Rarely,Never"
90,Category90,AgeGroup90,QuestionEN90,QuestionBN90,QuestionHI90,QuestionJP90,QuestionCN90,"Always,Sometimes,Rarely,Never"
91,Category91,AgeGroup91,QuestionEN91,QuestionBN91,QuestionHI91,QuestionJP91,QuestionCN91,"Always,Sometimes,Rarely,Never"
92,Category92,AgeGroup92,QuestionEN92,QuestionBN92,QuestionHI92,QuestionJP92,QuestionCN92,"Always,Sometimes,Rarely,Never"
93,Category93,AgeGroup93,QuestionEN93,QuestionBN93,QuestionHI93,QuestionJP93,QuestionCN93,"Always,Sometimes,Rarely,Never"
94,Category94,AgeGroup94,QuestionEN94,QuestionBN94,QuestionHI94,QuestionJP94,QuestionCN94,"Always,Sometimes,Rarely,Never"
95,Category95,AgeGroup95,QuestionEN95,QuestionBN95,QuestionHI95,QuestionJP95,QuestionCN95,"Always,Sometimes,Rarely,Never"
96,Category96,AgeGroup96,QuestionEN96,QuestionBN96,QuestionHI96,QuestionJP96,QuestionCN96,"Always,Sometimes,Rarely,Never"
97,Category97,AgeGroup97,QuestionEN97,QuestionBN97,QuestionHI97,QuestionJP97,QuestionCN97,"Always,Sometimes,Rarely,Never"
98,Category98,AgeGroup98,QuestionEN98,QuestionBN98,QuestionHI98,QuestionJP98,QuestionCN98,"Always,Sometimes,Rarely,Never"
99,Category99,AgeGroup99,QuestionEN99,QuestionBN99,QuestionHI99,QuestionJP99,QuestionCN99,"Always,Sometimes,Rarely,Never"
100,Category100,AgeGroup100,QuestionEN100,QuestionBN100,QuestionHI100,QuestionJP100,QuestionCN100,"Always,Sometimes,Rarely,Never"
101,Category101,AgeGroup101,QuestionEN101,QuestionBN101,QuestionHI101,QuestionJP101,QuestionCN101,"Always,Sometimes,Rarely,Never"
102,Category102,AgeGroup102,QuestionEN102,QuestionBN102,QuestionHI102,QuestionJP102,QuestionCN102,"Always,Sometimes,Rarely,Never"
103,Category103,AgeGroup103,QuestionEN103,QuestionBN103,QuestionHI103,QuestionJP103,QuestionCN103,"Always,Sometimes,Rarely,Never"
104,Category104,AgeGroup104,QuestionEN104,QuestionBN104,QuestionHI104,QuestionJP104,QuestionCN104,"Always,Sometimes,Rarely,Never"
105,Category105,AgeGroup105,QuestionEN105,QuestionBN105,QuestionHI105,QuestionJP105,QuestionCN105,"Always,Sometimes,Rarely,Never"
106,Category106,AgeGroup106,QuestionEN106,QuestionBN106,QuestionHI106,QuestionJP106,QuestionCN106,"Always,Sometimes,Rarely,Never"
107,Category107,AgeGroup107,QuestionEN107,QuestionBN107,QuestionHI107,QuestionJP107,QuestionCN107,"Always,Sometimes,Rarely,Never"
108,Category108,AgeGroup108,QuestionEN108,QuestionBN108,QuestionHI108,QuestionJP108,QuestionCN108,"Always,Sometimes,Rarely,Never"
109,Category109,AgeGroup109,QuestionEN109,QuestionBN109,QuestionHI109,QuestionJP109,QuestionCN109,"Always,Sometimes,Rarely,Never"
110,Category110,AgeGroup110,QuestionEN110,QuestionBN110,QuestionHI110,QuestionJP110,QuestionCN110,"Always,Sometimes,Rarely,Never"
111,Category111,AgeGroup111,QuestionEN111,QuestionBN111,QuestionHI111,QuestionJP111,QuestionCN111,"Always,Sometimes,Rarely,Never"
112,Category112,AgeGroup112,QuestionEN112,QuestionBN112,QuestionHI112,QuestionJP112,QuestionCN112,"Always,Sometimes,Rarely,Never"
113,Category113,AgeGroup113,QuestionEN113,QuestionBN113,QuestionHI113,QuestionJP113,QuestionCN113,"Always,Sometimes,Rarely,Never"
114,Category114,AgeGroup114,QuestionEN114,QuestionBN114,QuestionHI114,QuestionJP114,QuestionCN114,"Always,Sometimes,Rarely,Never"
115,Category115,AgeGroup115,QuestionEN115,QuestionBN115,QuestionHI115,QuestionJP115,QuestionCN115,"Always,Sometimes,Rarely,Never"
116,Category116,AgeGroup116,QuestionEN116,QuestionBN116,QuestionHI116,QuestionJP116,QuestionCN116,"Always,Sometimes,Rarely,Never"
117,Category117,AgeGroup117,QuestionEN117,QuestionBN117,QuestionHI117,QuestionJP117,QuestionCN117,"Always,Sometimes,Rarely,Never"
118,Category118,AgeGroup118,QuestionEN118,QuestionBN118,QuestionHI118,QuestionJP118,QuestionCN118,"Always,Sometimes,Rarely,Never"
119,Category119,AgeGroup119,QuestionEN119,QuestionBN119,QuestionHI119,QuestionJP119,QuestionCN119,"Always,Sometimes,Rarely,Never"
120,Category120,AgeGroup120,QuestionEN120,QuestionBN120,QuestionHI120,QuestionJP120,QuestionCN120,"Always,Sometimes,Rarely,Never"
